Date,vitamin,MED
2020-02-07,5,20
2020-02-08,5,20
2020-02-09,5,20
2020-02-10,6,23
2020-02-11,6,23
2020-02-12,6,21
2020-02-13,6,21
2020-02-14,6,21
2020-02-15,6,23
2020-02-16,6,21
2020-02-17,6,20
2020-02-18,6,21
2020-02-19,6,21
2020-02-20,6,23
2020-02-21,6,23
2020-02-22,8,25
2020-02-23,8,26
2020-02-24,8,25
2020-02-25,8,26
2020-02-26,8,26
2020-02-27,8,26
2020-02-28,8,26
2020-02-29,8,26
2020-03-01,8,26
2020-03-02,8,25
2020-03-03,8,26
2020-03-04,8,25
2020-03-05,8,26
2020-03-06,8,26
2020-03-07,8,26
2020-03-08,8,26
2020-03-09,8,27
2020-03-10,8,26
2020-03-11,8,26
2020-03-12,8,26
2020-03-13,8,26
2020-03-14,8,26
2020-03-15,8,26
2020-03-16,8,26
2020-03-17,8,26
2020-03-18,8,29
2020-03-19,10,29
2020-03-20,10,29
2020-03-21,8,29
2020-03-22,8,29
2020-03-23,8,29
2020-03-24,8,29
2020-03-25,10,31
2020-03-26,10,32
2020-03-27,10,31
2020-03-28,10,32
2020-03-29,10,31
2020-03-30,10,31
2020-03-31,10,31
2020-04-01,10,32
2020-04-02,10,32
2020-04-03,10,32
2020-04-04,10,32
2020-04-05,11,34
2020-04-06,11,35
2020-04-07,11,35
2020-04-08,11,36
2020-04-09,12,38
2020-04-10,12,38
2020-04-11,11,38
2020-04-12,12,38
2020-04-13,16,44
2020-04-14,14,44
2020-04-15,14,44
2020-04-16,14,44
2020-04-17,14,42
2020-04-18,14,42
2020-04-19,14,44
2020-04-20,14,44
2020-04-21,14,42
2020-04-22,14,44
2020-04-23,14,44
2020-04-24,14,44
2020-04-25,14,44
2020-04-26,17,50
2020-04-27,16,47
2020-04-28,17,49
2020-04-29,16,47
2020-04-30,16,47
2020-05-01,16,47
2020-05-02,16,47
2020-05-03,17,50
2020-05-04,19,53
2020-05-05,19,55
2020-05-06,20,57
2020-05-07,20,57
2020-05-08,20,56
2020-05-09,19,55
2020-05-10,20,57
2020-05-11,21,61
2020-05-12,23,64
2020-05-13,23,62
2020-05-14,21,62
2020-05-15,21,61
2020-05-16,21,59
2020-05-17,20,59
2020-05-18,20,57
2020-05-19,20,59
2020-05-20,23,62
2020-05-21,25,66
2020-05-22,27,71
2020-05-23,25,66
2020-05-24,23,65
2020-05-25,23,65
2020-05-26,23,65
2020-05-27,25,66
2020-05-28,26,70
2020-05-29,26,71
2020-05-30,26,70
2020-05-31,32,80
